2022.04.21,금천구,79906,350
2022.04.21,영등포구,139208,603
2022.04.21,동작구,133594,602
2022.04.21,관악구,166778,822
2022.04.21,서초구,131698,603
2022.04.21,강남구,170432,767
2022.04.21,송파구,220203,915
2022.04.21,강동구,154894,669
2022.04.21,기타,206379,1104
2022.04.20,종로구,45494,245
2022.04.20,중구,41163,182
2022.04.20,용산구,68557,375
2022.04.20,성동구,99535,511
2022.04.20,광진구,119096,576
2022.04.20,동대문구,117808,549
2022.04.20,중랑구,127561,667
2022.04.20,성북구,145357,817
2022.04.20,강북구,94014,381
2022.04.20,도봉구,103116,524
2022.04.20,노원구,170942,808
2022.04.20,은평구,150598,932
2022.04.20,서대문구,100398,580
2022.04.20,마포구,123170,694
2022.04.20,양천구,146598,831
2022.04.20,강서구,188793,1021
2022.04.20,구로구,138541,825
2022.04.20,금천구,79556,442
2022.04.20,영등포구,138605,805
2022.04.20,동작구,132992,779
2022.04.20,관악구,165956,924
2022.04.20,서초구,131095,755
2022.04.20,강남구,169665,902
2022.04.20,송파구,219288,1142
2022.04.20,강동구,154226,781
2022.04.20,기타,205275,1274
2022.04.19,종로구,45249,245
2022.04.19,중구,40982,265
2022.04.19,용산구,68182,455
2022.04.19,성동구,99024,664
2022.04.19,광진구,118521,722
2022.04.19,동대문구,117259,663
2022.04.19,중랑구,126898,761
2022.04.19,성북구,144540,928
2022.04.19,강북구,93634,661
2022.04.19,도봉구,102592,714
2022.04.19,노원구,170134,1304
2022.04.19,은평구,149666,813
2022.04.19,서대문구,99818,615
2022.04.19,마포구,122477,889
2022.04.19,양천구,145767,897
2022.04.19,강서구,187774,1292
2022.04.19,구로구,137717,851
2022.04.19,금천구,79114,578
2022.04.19,영등포구,137806,887
2022.04.19,동작구,132213,836
2022.04.19,관악구,165032,1073
2022.04.19,서초구,130340,773
2022.04.19,강남구,168763,1090
2022.04.19,송파구,218149,1476
2022.04.19,강동구,153445,1086
2022.04.19,기타,204001,1281
2022.04.18,종로구,45004,76
2022.04.18,중구,40717,43
2022.04.18,용산구,67727,126
2022.04.18,성동구,98360,153
2022.04.18,광진구,117799,219
2022.04.18,동대문구,116596,246
2022.04.18,중랑구,126138,231
2022.04.18,성북구,143612,252
2022.04.18,강북구,92973,128
2022.04.18,도봉구,101878,225
2022.04.18,노원구,168830,389
2022.04.18,은평구,148853,450
2022.04.18,서대문구,99203,220
2022.04.18,마포구,121588,302
2022.04.18,양천구,144870,360
2022.04.18,강서구,186484,532
2022.04.18,구로구,136866,223
2022.04.18,금천구,78536,121
2022.04.18,영등포구,136920,271
2022.04.18,동작구,131377,284
2022.04.18,관악구,163959,330
2022.04.18,서초구,129567,489
2022.04.18,강남구,167673,400
2022.04.18,송파구,216673,559
2022.04.18,강동구,152359,333
2022.04.18,기타,202720,383
2022.04.17,종로구,44928,166
2022.04.17,중구,40674,137
2022.04.17,용산구,67601,318
2022.04.17,성동구,98207,390
2022.04.17,광진구,117580,540
2022.04.17,동대문구,116350,481
2022.04.17,중랑구,125907,532
2022.04.17,성북구,143360,620
2022.04.17,강북구,92845,360
2022.04.17,도봉구,101653,458
2022.04.17,노원구,168441,789
